image_id,file_name,question_en,answer,split,category,question_ur,question_roman
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,random,bus,کیا تصویر میں بس ہے؟,Kya tasveer mein bus hai?
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,random,handbag,کیا تصویر میں ہینڈ بیگ ہے؟,Kya tasveer mein handbag hai?
110330,COCO_val2014_000000110330.jpg,Is there a baseball bat in the image?,no,random,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟,Kya tasveer mein baseball ka balla hai?
110330,COCO_val2014_000000110330.jpg,Is there a laptop in the image?,no,random,laptop,کیا تصویر میں لیپ ٹاپ ہے؟,Kya tasveer mein laptop hai?
110330,COCO_val2014_000000110330.jpg,Is there a cake in the image?,no,random,cake,کیا تصویر میں کیک ہے؟,Kya tasveer mein cake hai?
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,popular,bus,کیا تصویر میں بس ہے؟,Kya tasveer mein bus hai?
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,popular,handbag,کیا تصویر میں ہینڈ بیگ ہے؟,Kya tasveer mein handbag hai?
110330,COCO_val2014_000000110330.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
110330,COCO_val2014_000000110330.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
110330,COCO_val2014_000000110330.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,adversarial,bus,کیا تصویر میں بس ہے؟,Kya tasveer mein bus hai?
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,adversarial,handbag,کیا تصویر میں ہینڈ بیگ ہے؟,Kya tasveer mein handbag hai?
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
110330,COCO_val2014_000000110330.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
110330,COCO_val2014_000000110330.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
110330,COCO_val2014_000000110330.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,random,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
184205,COCO_val2014_000000184205.jpg,Is there a cup in the image?,yes,random,cup,کیا تصویر میں کپ ہے؟,Kya tasveer mein cup hai?
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,random,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
184205,COCO_val2014_000000184205.jpg,Is there a train in the image?,no,random,train,کیا تصویر میں ٹرین ہے؟,Kya tasveer mein train hai?
184205,COCO_val2014_000000184205.jpg,Is there a parking meter in the image?,no,random,parking meter,کیا تصویر میں پارکنگ میٹر ہے؟,Kya tasveer mein parking meter hai?
184205,COCO_val2014_000000184205.jpg,Is there a truck in the image?,no,random,truck,کیا تصویر میں کوئی ٹرک ہے؟,Kya tasveer mein truck hai?
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,popular,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,popular,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
184205,COCO_val2014_000000184205.jpg,Is there a cup in the image?,yes,popular,cup,کیا تصویر میں کپ ہے؟,Kya tasveer mein cup hai?
184205,COCO_val2014_000000184205.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
184205,COCO_val2014_000000184205.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
184205,COCO_val2014_000000184205.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
184205,COCO_val2014_000000184205.jpg,Is there a oven in the image?,yes,adversarial,oven,کیا تصویر میں تندور ہے؟,Kya tasveer mein oven hai?
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,adversarial,bottle,کیا تصویر میں کوئی بوتل ہے؟,Kya tasveer mein botal hai?
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,adversarial,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
184205,COCO_val2014_000000184205.jpg,Is there a person in the image?,no,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
184205,COCO_val2014_000000184205.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
184205,COCO_val2014_000000184205.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,random,sports ball,کیا تصویر میں کھیلوں کی گیند ہے؟,Kya tasveer mein khel ka gend hai?
535668,COCO_val2014_000000535668.jpg,Is there a baseball bat in the image?,yes,random,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟,Kya tasveer mein baseball ka balla hai?
535668,COCO_val2014_000000535668.jpg,Is there a couch in the image?,no,random,couch,کیا تصویر میں صوفہ ہے؟,Kya tasveer mein sofa hai?
535668,COCO_val2014_000000535668.jpg,Is there a backpack in the image?,no,random,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
535668,COCO_val2014_000000535668.jpg,Is there a tennis racket in the image?,no,random,tennis racket,کیا تصویر میں ٹینس ریکیٹ ہے؟,Kya tasveer mein tennis ka racket hai?
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,popular,sports ball,کیا تصویر میں کھیلوں کی گیند ہے؟,Kya tasveer mein khel ka gend hai?
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
535668,COCO_val2014_000000535668.jpg,Is there a baseball bat in the image?,yes,popular,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟,Kya tasveer mein baseball ka balla hai?
535668,COCO_val2014_000000535668.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
535668,COCO_val2014_000000535668.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
535668,COCO_val2014_000000535668.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,adversarial,sports ball,کیا تصویر میں کھیلوں کی گیند ہے؟,Kya tasveer mein khel ka gend hai?
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟,Kya tasveer mein insaan hai?
535668,COCO_val2014_000000535668.jpg,Is there a baseball bat in the image?,yes,adversarial,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟,Kya tasveer mein baseball ka balla hai?
535668,COCO_val2014_000000535668.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟,Kya tasveer mein gaari hai?
535668,COCO_val2014_000000535668.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟,Kya tasveer mein kursi hai?
535668,COCO_val2014_000000535668.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟,Kya tasveer mein kitaab hai?
303685,COCO_val2014_000000303685.jpg,Is there a truck in the image?,yes,random,truck,کیا تصویر میں کوئی ٹرک ہے؟,Kya tasveer mein truck hai?
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,random,backpack,کیا تصویر میں کوئی بیگ ہے؟,Kya tasveer mein bag hai?
303685,COCO_val2014_000000303685.jpg,Is there a tie in the image?,yes,random,tie,کیا تصویر میں ٹائی ہے؟,Kya tasveer mein tie hai?
303685,COCO_val2014_000000303685.jpg,Is there a zebra in the image?,no,random,zebra,کیا تصویر میں زیبرا ہے؟,Kya tasveer mein zebra hai?
303685,COCO_val2014_000000303685.jpg,Is there a cake in the image?,no,random,cake,کیا تصویر میں کیک ہے؟,Kya tasveer mein cake hai?
303685,COCO_val2014_000000303685.jpg,Is there a keyboard in the image?,no,random,keyboard,کیا تصویر میں کی بورڈ ہے؟,Kya tasveer mein keyboard hai?
