image_id,file_name,question,answer,predicted,split,category,language,raw_response
322816,COCO_val2014_000000322816.jpg,Is there a cake in the image?,yes,yes,random,cake,en,yes
470699,COCO_val2014_000000470699.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
520862,COCO_val2014_000000520862.jpg,Is there a chair in the image?,yes,yes,random,chair,en,yes
412419,COCO_val2014_000000412419.jpg,Is there a baseball glove in the image?,yes,yes,random,baseball glove,en,yes
131280,COCO_val2014_000000131280.jpg,Is there a sports ball in the image?,yes,yes,random,sports ball,en,yes
577219,COCO_val2014_000000577219.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,yes,random,backpack,en,yes
113139,COCO_val2014_000000113139.jpg,Is there a dining table in the image?,yes,yes,random,dining table,en,yes
207072,COCO_val2014_000000207072.jpg,Is there a potted plant in the image?,yes,yes,random,potted plant,en,yes
317565,COCO_val2014_000000317565.jpg,Is there a tv in the image?,yes,yes,random,tv,en,yes
194716,COCO_val2014_000000194716.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
83277,COCO_val2014_000000083277.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
322816,COCO_val2014_000000322816.jpg,Is there a book in the image?,yes,no,random,book,en,no
297522,COCO_val2014_000000297522.jpg,Is there a baseball glove in the image?,yes,yes,random,baseball glove,en,yes
478736,COCO_val2014_000000478736.jpg,Is there a traffic light in the image?,yes,yes,random,traffic light,en,yes
115776,COCO_val2014_000000115776.jpg,Is there a fork in the image?,yes,yes,random,fork,en,yes
279549,COCO_val2014_000000279549.jpg,Is there a tennis racket in the image?,yes,yes,random,tennis racket,en,yes
218494,COCO_val2014_000000218494.jpg,Is there a mouse in the image?,yes,yes,random,mouse,en,yes
375285,COCO_val2014_000000375285.jpg,Is there a backpack in the image?,yes,yes,random,backpack,en,yes
497067,COCO_val2014_000000497067.jpg,Is there a car in the image?,yes,yes,random,car,en,yes
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,yes,random,handbag,en,yes
255401,COCO_val2014_000000255401.jpg,Is there a bottle in the image?,yes,yes,random,bottle,en,yes
422025,COCO_val2014_000000422025.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
54329,COCO_val2014_000000054329.jpg,Is there a sports ball in the image?,yes,yes,random,sports ball,en,yes
257036,COCO_val2014_000000257036.jpg,Is there a bicycle in the image?,yes,yes,random,bicycle,en,yes
150224,COCO_val2014_000000150224.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
536403,COCO_val2014_000000536403.jpg,Is there a hot dog in the image?,yes,yes,random,hot dog,en,yes
431891,COCO_val2014_000000431891.jpg,Is there a person in the image?,yes,no,random,person,en,no
323576,COCO_val2014_000000323576.jpg,Is there a chair in the image?,yes,yes,random,chair,en,yes
439982,COCO_val2014_000000439982.jpg,Is there a carrot in the image?,yes,no,random,carrot,en,no
54329,COCO_val2014_000000054329.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
110313,COCO_val2014_000000110313.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
233727,COCO_val2014_000000233727.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
228335,COCO_val2014_000000228335.jpg,Is there a vase in the image?,yes,yes,random,vase,en,yes
520659,COCO_val2014_000000520659.jpg,Is there a surfboard in the image?,yes,yes,random,surfboard,en,yes
8021,COCO_val2014_000000008021.jpg,Is there a tie in the image?,yes,yes,random,tie,en,yes
50942,COCO_val2014_000000050942.jpg,Is there a chair in the image?,yes,yes,random,chair,en,yes
200627,COCO_val2014_000000200627.jpg,Is there a cup in the image?,yes,yes,random,cup,en,yes
386424,COCO_val2014_000000386424.jpg,Is there a dining table in the image?,yes,yes,random,dining table,en,yes
248089,COCO_val2014_000000248089.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
17714,COCO_val2014_000000017714.jpg,Is there a dining table in the image?,yes,yes,random,dining table,en,yes
526418,COCO_val2014_000000526418.jpg,Is there a teddy bear in the image?,yes,yes,random,teddy bear,en,yes
342165,COCO_val2014_000000342165.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
8718,COCO_val2014_000000008718.jpg,Is there a bowl in the image?,yes,yes,random,bowl,en,yes
332625,COCO_val2014_000000332625.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
131280,COCO_val2014_000000131280.jpg,Is there a person in the image?,yes,yes,random,person,en,yes
367872,COCO_val2014_000000367872.jpg,Is there a sports ball in the image?,yes,yes,random,sports ball,en,yes
455716,COCO_val2014_000000455716.jpg,Is there a motorcycle in the image?,yes,yes,random,motorcycle,en,yes
398798,COCO_val2014_000000398798.jpg,Is there a tennis racket in the image?,yes,yes,random,tennis racket,en,yes
383087,COCO_val2014_000000383087.jpg,Is there a bowl in the image?,yes,yes,random,bowl,en,yes
322816,COCO_val2014_000000322816.jpg,Is there a sandwich in the image?,no,no,random,sandwich,en,no
470699,COCO_val2014_000000470699.jpg,Is there a bed in the image?,no,no,random,bed,en,no
520862,COCO_val2014_000000520862.jpg,Is there a backpack in the image?,no,no,random,backpack,en,no
412419,COCO_val2014_000000412419.jpg,Is there a potted plant in the image?,no,no,random,potted plant,en,no
131280,COCO_val2014_000000131280.jpg,Is there a handbag in the image?,no,no,random,handbag,en,no
577219,COCO_val2014_000000577219.jpg,Is there a microwave in the image?,no,no,random,microwave,en,no
303685,COCO_val2014_000000303685.jpg,Is there a cake in the image?,no,no,random,cake,en,no
113139,COCO_val2014_000000113139.jpg,Is there a snowboard in the image?,no,no,random,snowboard,en,no
207072,COCO_val2014_000000207072.jpg,Is there a snowboard in the image?,no,no,random,snowboard,en,no
317565,COCO_val2014_000000317565.jpg,Is there a remote in the image?,no,yes,random,remote,en,yes
194716,COCO_val2014_000000194716.jpg,Is there a handbag in the image?,no,no,random,handbag,en,no
83277,COCO_val2014_000000083277.jpg,Is there a umbrella in the image?,no,yes,random,umbrella,en,yes
322816,COCO_val2014_000000322816.jpg,Is there a chair in the image?,no,no,random,chair,en,no
297522,COCO_val2014_000000297522.jpg,Is there a parking meter in the image?,no,no,random,parking meter,en,no
478736,COCO_val2014_000000478736.jpg,Is there a bus in the image?,no,no,random,bus,en,no
115776,COCO_val2014_000000115776.jpg,Is there a parking meter in the image?,no,no,random,parking meter,en,no
279549,COCO_val2014_000000279549.jpg,Is there a book in the image?,no,no,random,book,en,no
