image_id,file_name,question_en,answer,split,category
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,random,person
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,random,bus
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,random,handbag
110330,COCO_val2014_000000110330.jpg,Is there a baseball bat in the image?,no,random,baseball bat
110330,COCO_val2014_000000110330.jpg,Is there a laptop in the image?,no,random,laptop
110330,COCO_val2014_000000110330.jpg,Is there a cake in the image?,no,random,cake
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,popular,person
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,popular,bus
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,popular,handbag
110330,COCO_val2014_000000110330.jpg,Is there a car in the image?,no,popular,car
110330,COCO_val2014_000000110330.jpg,Is there a chair in the image?,no,popular,chair
110330,COCO_val2014_000000110330.jpg,Is there a book in the image?,no,popular,book
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,adversarial,bus
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,adversarial,handbag
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,adversarial,person
110330,COCO_val2014_000000110330.jpg,Is there a car in the image?,no,adversarial,car
110330,COCO_val2014_000000110330.jpg,Is there a chair in the image?,no,adversarial,chair
110330,COCO_val2014_000000110330.jpg,Is there a book in the image?,no,adversarial,book
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,random,bottle
184205,COCO_val2014_000000184205.jpg,Is there a cup in the image?,yes,random,cup
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,random,backpack
184205,COCO_val2014_000000184205.jpg,Is there a train in the image?,no,random,train
184205,COCO_val2014_000000184205.jpg,Is there a parking meter in the image?,no,random,parking meter
184205,COCO_val2014_000000184205.jpg,Is there a truck in the image?,no,random,truck
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,popular,bottle
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,popular,backpack
184205,COCO_val2014_000000184205.jpg,Is there a cup in the image?,yes,popular,cup
184205,COCO_val2014_000000184205.jpg,Is there a person in the image?,no,popular,person
184205,COCO_val2014_000000184205.jpg,Is there a car in the image?,no,popular,car
184205,COCO_val2014_000000184205.jpg,Is there a chair in the image?,no,popular,chair
184205,COCO_val2014_000000184205.jpg,Is there a oven in the image?,yes,adversarial,oven
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,adversarial,bottle
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,adversarial,backpack
184205,COCO_val2014_000000184205.jpg,Is there a person in the image?,no,adversarial,person
184205,COCO_val2014_000000184205.jpg,Is there a car in the image?,no,adversarial,car
184205,COCO_val2014_000000184205.jpg,Is there a chair in the image?,no,adversarial,chair
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,random,person
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,random,sports ball
