image_id,file_name,question_en,answer,split,category,question_ur
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,random,bus,کیا تصویر میں بس ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,random,handbag,کیا تصویر میں ہینڈ بیگ ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a baseball bat in the image?,no,random,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a laptop in the image?,no,random,laptop,کیا تصویر میں لیپ ٹاپ ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a cake in the image?,no,random,cake,کیا تصویر میں کیک ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,popular,bus,کیا تصویر میں بس ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,popular,handbag,کیا تصویر میں ہینڈ بیگ ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a bus in the image?,yes,adversarial,bus,کیا تصویر میں بس ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a handbag in the image?,yes,adversarial,handbag,کیا تصویر میں ہینڈ بیگ ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟
110330,COCO_val2014_000000110330.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,random,bottle,کیا تصویر میں کوئی بوتل ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a cup in the image?,yes,random,cup,کیا تصویر میں کپ ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,random,backpack,کیا تصویر میں کوئی بیگ ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a train in the image?,no,random,train,کیا تصویر میں ٹرین ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a parking meter in the image?,no,random,parking meter,کیا تصویر میں پارکنگ میٹر ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a truck in the image?,no,random,truck,کیا تصویر میں کوئی ٹرک ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,popular,bottle,کیا تصویر میں کوئی بوتل ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,popular,backpack,کیا تصویر میں کوئی بیگ ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a cup in the image?,yes,popular,cup,کیا تصویر میں کپ ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a oven in the image?,yes,adversarial,oven,کیا تصویر میں تندور ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a bottle in the image?,yes,adversarial,bottle,کیا تصویر میں کوئی بوتل ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a backpack in the image?,yes,adversarial,backpack,کیا تصویر میں کوئی بیگ ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a person in the image?,no,adversarial,person,کیا تصویر میں کوئی شخص ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟
184205,COCO_val2014_000000184205.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,random,sports ball,کیا تصویر میں کھیلوں کی گیند ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a baseball bat in the image?,yes,random,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a couch in the image?,no,random,couch,کیا تصویر میں صوفہ ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a backpack in the image?,no,random,backpack,کیا تصویر میں کوئی بیگ ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a tennis racket in the image?,no,random,tennis racket,کیا تصویر میں ٹینس ریکیٹ ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,popular,sports ball,کیا تصویر میں کھیلوں کی گیند ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a baseball bat in the image?,yes,popular,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a sports ball in the image?,yes,adversarial,sports ball,کیا تصویر میں کھیلوں کی گیند ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a baseball bat in the image?,yes,adversarial,baseball bat,کیا تصویر میں بیس بال کا بیٹ ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟
535668,COCO_val2014_000000535668.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a truck in the image?,yes,random,truck,کیا تصویر میں کوئی ٹرک ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,random,backpack,کیا تصویر میں کوئی بیگ ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a tie in the image?,yes,random,tie,کیا تصویر میں ٹائی ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a zebra in the image?,no,random,zebra,کیا تصویر میں زیبرا ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a cake in the image?,no,random,cake,کیا تصویر میں کیک ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a keyboard in the image?,no,random,keyboard,کیا تصویر میں کی بورڈ ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,popular,backpack,کیا تصویر میں کوئی بیگ ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a truck in the image?,yes,popular,truck,کیا تصویر میں کوئی ٹرک ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a chair in the image?,yes,popular,chair,کیا تصویر میں کرسی ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a truck in the image?,yes,adversarial,truck,کیا تصویر میں کوئی ٹرک ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a backpack in the image?,yes,adversarial,backpack,کیا تصویر میں کوئی بیگ ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a chair in the image?,yes,adversarial,chair,کیا تصویر میں کرسی ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a person in the image?,no,adversarial,person,کیا تصویر میں کوئی شخص ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟
303685,COCO_val2014_000000303685.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a boat in the image?,yes,random,boat,کیا تصویر میں کوئی کشتی ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a car in the image?,yes,random,car,کیا تصویر میں کوئی کار ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a toilet in the image?,no,random,toilet,کیا تصویر میں بیت الخلا ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a bottle in the image?,no,random,bottle,کیا تصویر میں کوئی بوتل ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a couch in the image?,no,random,couch,کیا تصویر میں صوفہ ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a person in the image?,yes,popular,person,کیا تصویر میں کوئی شخص ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a car in the image?,yes,popular,car,کیا تصویر میں کوئی کار ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a boat in the image?,yes,popular,boat,کیا تصویر میں کوئی کشتی ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a book in the image?,no,popular,book,کیا تصویر میں کوئی کتاب ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a bottle in the image?,no,popular,bottle,کیا تصویر میں کوئی بوتل ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a boat in the image?,yes,adversarial,boat,کیا تصویر میں کوئی کشتی ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a car in the image?,yes,adversarial,car,کیا تصویر میں کوئی کار ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a person in the image?,yes,adversarial,person,کیا تصویر میں کوئی شخص ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a book in the image?,no,adversarial,book,کیا تصویر میں کوئی کتاب ہے؟
516414,COCO_val2014_000000516414.jpg,Is there a bottle in the image?,no,adversarial,bottle,کیا تصویر میں کوئی بوتل ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a cat in the image?,yes,random,cat,کیا تصویر میں بلی ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a bowl in the image?,yes,random,bowl,کیا تصویر میں ایک پیالہ ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a potted plant in the image?,yes,random,potted plant,کیا تصویر میں کوئی پودا ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a truck in the image?,no,random,truck,کیا تصویر میں کوئی ٹرک ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a train in the image?,no,random,train,کیا تصویر میں ٹرین ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a teddy bear in the image?,no,random,teddy bear,کیا تصویر میں کوئی ٹیڈی بیر ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a potted plant in the image?,yes,popular,potted plant,کیا تصویر میں کوئی پودا ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a cat in the image?,yes,popular,cat,کیا تصویر میں بلی ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a bowl in the image?,yes,popular,bowl,کیا تصویر میں ایک پیالہ ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a person in the image?,no,popular,person,کیا تصویر میں کوئی شخص ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a car in the image?,no,popular,car,کیا تصویر میں کوئی کار ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a chair in the image?,no,popular,chair,کیا تصویر میں کرسی ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a bowl in the image?,yes,adversarial,bowl,کیا تصویر میں ایک پیالہ ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a cat in the image?,yes,adversarial,cat,کیا تصویر میں بلی ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a potted plant in the image?,yes,adversarial,potted plant,کیا تصویر میں کوئی پودا ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a person in the image?,no,adversarial,person,کیا تصویر میں کوئی شخص ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a car in the image?,no,adversarial,car,کیا تصویر میں کوئی کار ہے؟
443887,COCO_val2014_000000443887.jpg,Is there a chair in the image?,no,adversarial,chair,کیا تصویر میں کرسی ہے؟
534827,COCO_val2014_000000534827.jpg,Is there a person in the image?,yes,random,person,کیا تصویر میں کوئی شخص ہے؟
534827,COCO_val2014_000000534827.jpg,Is there a motorcycle in the image?,yes,random,motorcycle,کیا تصویر میں کوئی موٹر سائیکل ہے؟
534827,COCO_val2014_000000534827.jpg,Is there a handbag in the image?,yes,random,handbag,کیا تصویر میں ہینڈ بیگ ہے؟
534827,COCO_val2014_000000534827.jpg,Is there a donut in the image?,no,random,donut,کیا تصویر میں ڈونٹ ہے؟
534827,COCO_val2014_000000534827.jpg,Is there a horse in the image?,no,random,horse,کیا تصویر میں گھوڑا ہے؟
