image_id,file_name,question,answer,predicted,split,category,language,raw_response
322816,COCO_val2014_000000322816.jpg,کیا تصویر میں کیک ہے؟,yes,yes,random,cake,ur,yes
470699,COCO_val2014_000000470699.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
520862,COCO_val2014_000000520862.jpg,کیا تصویر میں کرسی ہے؟,yes,yes,random,chair,ur,yes
412419,COCO_val2014_000000412419.jpg,کیا تصویر میں بیس بال کا دستانہ ہے؟,yes,yes,random,baseball glove,ur,yes
131280,COCO_val2014_000000131280.jpg,کیا تصویر میں کھیلوں کی گیند ہے؟,yes,yes,random,sports ball,ur,yes
577219,COCO_val2014_000000577219.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
303685,COCO_val2014_000000303685.jpg,کیا تصویر میں کوئی بیگ ہے؟,yes,yes,random,backpack,ur,yes
113139,COCO_val2014_000000113139.jpg,کیا تصویر میں کھانے کی میز ہے؟,yes,yes,random,dining table,ur,yes
207072,COCO_val2014_000000207072.jpg,کیا تصویر میں کوئی پودا ہے؟,yes,yes,random,potted plant,ur,yes
317565,COCO_val2014_000000317565.jpg,کیا تصویر میں ٹی وی ہے؟,yes,yes,random,tv,ur,yes
194716,COCO_val2014_000000194716.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
83277,COCO_val2014_000000083277.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
322816,COCO_val2014_000000322816.jpg,کیا تصویر میں کوئی کتاب ہے؟,yes,yes,random,book,ur,yes
297522,COCO_val2014_000000297522.jpg,کیا تصویر میں بیس بال کا دستانہ ہے؟,yes,yes,random,baseball glove,ur,yes
478736,COCO_val2014_000000478736.jpg,کیا تصویر میں ٹریفک لائٹ ہے؟,yes,yes,random,traffic light,ur,yes
115776,COCO_val2014_000000115776.jpg,کیا تصویر میں کانٹا ہے؟,yes,yes,random,fork,ur,yes
279549,COCO_val2014_000000279549.jpg,کیا تصویر میں ٹینس ریکیٹ ہے؟,yes,yes,random,tennis racket,ur,yes
218494,COCO_val2014_000000218494.jpg,کیا تصویر میں کوئی چوہا ہے؟,yes,yes,random,mouse,ur,yes
375285,COCO_val2014_000000375285.jpg,کیا تصویر میں کوئی بیگ ہے؟,yes,yes,random,backpack,ur,yes
497067,COCO_val2014_000000497067.jpg,کیا تصویر میں کوئی کار ہے؟,yes,yes,random,car,ur,yes
110330,COCO_val2014_000000110330.jpg,کیا تصویر میں ہینڈ بیگ ہے؟,yes,yes,random,handbag,ur,yes
255401,COCO_val2014_000000255401.jpg,کیا تصویر میں کوئی بوتل ہے؟,yes,yes,random,bottle,ur,yes
422025,COCO_val2014_000000422025.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
54329,COCO_val2014_000000054329.jpg,کیا تصویر میں کھیلوں کی گیند ہے؟,yes,yes,random,sports ball,ur,yes
257036,COCO_val2014_000000257036.jpg,کیا تصویر میں کوئی سائیکل ہے؟,yes,yes,random,bicycle,ur,yes
150224,COCO_val2014_000000150224.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
536403,COCO_val2014_000000536403.jpg,کیا تصویر میں کوئی ہاٹ ڈاگ ہے؟,yes,yes,random,hot dog,ur,yes
431891,COCO_val2014_000000431891.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
323576,COCO_val2014_000000323576.jpg,کیا تصویر میں کرسی ہے؟,yes,yes,random,chair,ur,yes
439982,COCO_val2014_000000439982.jpg,کیا تصویر میں گاجر ہے؟,yes,yes,random,carrot,ur,yes
54329,COCO_val2014_000000054329.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
110313,COCO_val2014_000000110313.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
233727,COCO_val2014_000000233727.jpg,کیا تصویر میں کوئی شخص ہے؟,yes,yes,random,person,ur,yes
228335,COCO_val2014_000000228335.jpg,کیا تصویر میں گلدان ہے؟,yes,yes,random,vase,ur,yes
520659,COCO_val2014_000000520659.jpg,کیا تصویر میں کوئی سرف بورڈ ہے؟,yes,yes,random,surfboard,ur,yes
